Items,Description,Real Price,% Discount,Discounted Price,Images
STRAIGHT SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Central back vent at hem. Front button closure.,$ 129.00,-37%,$ 79.99,"['https://static.zara.net/assets/public/6d41/cb03/a4134ce4815a/394a127fed98/04143291800-p/04143291800-p.jpg?ts=1712301846519&w=477', 'https://static.zara.net/assets/public/6f04/a9bb/f18247f3bd42/d6181ca5803c/04143291800-a1/04143291800-a1.jpg?ts=1712301845489&w=477', 'https://static.zara.net/assets/public/afa0/8ba0/37ed4a0fb016/10e7e9de613c/03332425401-e1/03332425401-e1.jpg?ts=1708330649987&w=151', 'https://static.zara.net/assets/public/447b/22b2/e57c430f9b1f/ff3697a8426a/04144291800-e1/04144291800-e1.jpg?ts=1706093304417&w=151', 'https://static.zara.net/assets/public/6fad/9d99/e0f541e6aaac/3fd77f303223/12400320800-e1/12400320800-e1.jpg?ts=1699878851053&w=151', 'https://static.zara.net/assets/public/a0ea/4595/8d764ee587ef/0d3a0db36d84/20210016999-e1/20210016999-e1.jpg?ts=1710490652312&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/e89a/7197/ee444b94b95d/1cc82e444cfc/04143291707-e1/04143291707-e1.jpg?ts=1706101192134&w=151']"
TEXTURED JOGGER WAIST PANTS,Straight fit pants made of cotton cut on the bias. Side pockets and back patch pocket. Washed effect.,$ 49.90,-39%,$ 29.99,"['https://static.zara.net/assets/public/8403/681b/14234ee78190/9377bf91e727/06917410806-p/06917410806-p.jpg?ts=1713367863839&w=477', 'https://static.zara.net/assets/public/24d1/8499/cd304e7f82f6/f0610528cd00/06917410806-a1/06917410806-a1.jpg?ts=1713367864674&w=477', 'https://static.zara.net/assets/public/7c75/e80b/13a643219c84/005ee2b95a3b/03992452700-e1/03992452700-e1.jpg?ts=1710408107426&w=151', 'https://static.zara.net/assets/public/6799/8c65/928847a0868b/654bd296d353/12503320001-e1/12503320001-e1.jpg?ts=1709195981362&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/a388/c63e/f8bb4783a195/cbc12ede059b/06917410518-e1/06917410518-e1.jpg?ts=1711536602594&w=151', 'https://static.zara.net/assets/public/70b6/7f94/133049f98b30/d59d84026ba9/06917410707-e1/06917410707-e1.jpg?ts=1711536600349&w=151']"
CHINO PANTS,Skinny fit pants made of stretchy cotton blend fabric. Front pockets and back welt pockets. Front zip and button closure.,,,$ 45.90,"['https://static.zara.net/assets/public/593d/5d12/d3244c5bba50/5bf69ef3b3b8/06786320806-p/06786320806-p.jpg?ts=1714997207660&w=477', 'https://static.zara.net/assets/public/dd9b/7c2c/547e4f47870f/589421ef4846/06786320806-a1/06786320806-a1.jpg?ts=1714997206056&w=477', 'https://static.zara.net/assets/public/bcfe/2366/0bd94a208510/527821460f5f/05584361822-e1/05584361822-e1.jpg?ts=1703759599304&w=151', 'https://static.zara.net/assets/public/97be/caca/bbe14121b140/582fc583db9e/01054310800-e1/01054310800-e1.jpg?ts=1713857009848&w=151', 'https://static.zara.net/assets/public/c156/a8c2/4c6149b1aead/4d646071fe36/20210624999-e1/20210624999-e1.jpg?ts=1710490697112&w=151', 'https://static.zara.net/assets/public/7076/f19a/e0dd45cebed1/b4e1b3fd2544/06861441802-e1/06861441802-e1.jpg?ts=1704788332861&w=151', 'https://static.zara.net/assets/public/39b5/a80e/f72c4fe68bc9/b072d1478c11/06861755400-e1/06861755400-e1.jpg?ts=1712044021198&w=151', 'https://static.zara.net/assets/public/77f0/9240/9ac84c30b379/5c67d090ed4c/07545440250-e1/07545440250-e1.jpg?ts=1701173508756&w=151']"
BAND COLLAR SHIRT,Relaxed fit cotton shirt. Band collar with front button closure. Long sleeves with buttoned cuffs.,$ 49.90,-27%,$ 35.99,"['https://static.zara.net/assets/public/71a0/f359/2a5e4481ae62/da4e2adb91d7/01063470711-a1/01063470711-a1.jpg?ts=1710490546023&w=477', 'https://static.zara.net/assets/public/8a3e/af7a/151a471294c2/a900dee0c577/01063470711-a4/01063470711-a4.jpg?ts=1710490546875&w=477', 'https://static.zara.net/assets/public/e5b0/93d0/06a94089b1ab/62a52b4271fc/01538426251-e1/01538426251-e1.jpg?ts=1709211243601&w=151', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/3d6b/ed88/1dbb44b59b1f/6d195c85eefe/01063470250-e1/01063470250-e1.jpg?ts=1711385311401&w=151', 'https://static.zara.net/assets/public/a9bc/320b/f3ef449db966/924bd98b994a/00399204064-e1/00399204064-e1.jpg?ts=1711984927422&w=151']"
WAFFLE WEAVE T-SHIRT,Round neck T-shirt with short sleeves. Label detail at hem.,$ 39.90,-34%,$ 25.99,"['https://static.zara.net/assets/public/8ce6/766d/9e8841db84d2/bba3fe0141fe/00761417806-p/00761417806-p.jpg?ts=1703149774181&w=477', 'https://static.zara.net/assets/public/7d9f/ff1a/433f444bb218/d147a93c0128/00761417806-a1/00761417806-a1.jpg?ts=1703149774861&w=477', 'https://static.zara.net/assets/public/20d6/d334/2c084961a449/4b44125ae13b/09065403600-e1/09065403600-e1.jpg?ts=1701097079439&w=151', 'https://static.zara.net/assets/public/2139/cc12/a3a34f9988f4/d52369a483af/20210722999-e1/20210722999-e1.jpg?ts=1709283256970&w=151', 'https://static.zara.net/assets/public/2a8d/8cf7/024648ad8bcd/42a63bb37705/00761417700-e1/00761417700-e1.jpg?ts=1703000584376&w=151', 'https://static.zara.net/assets/public/1210/5d4f/970940c58ed5/52981dfe1066/00761418251-e1/00761418251-e1.jpg?ts=1706093255723&w=151', 'https://static.zara.net/assets/public/f2ca/8e21/992441118c39/da153534605f/05039400819-e1/05039400819-e1.jpg?ts=1702563404784&w=151', 'https://static.zara.net/assets/public/164c/8982/92ef4ab1bb4b/8555e94676d6/06224891712-e1/06224891712-e1.jpg?ts=1717428229609&w=151']"
LUG SOLE LACE-UP BOOTS,"Lace-up boots. Lacing with seven pairs of eyelets, the top two with metal pieces. Rubberized detail around upper. Back pull tab for ease. Rounded shape. Slightly chunky lug soles.",$ 69.90,-42%,$ 39.99,"['https://static.zara.net/assets/public/f7e7/4b4a/2f0046129a9c/d75661fbb0e8/12016220800-a1/12016220800-a1.jpg?ts=1699525082183&w=477', 'https://static.zara.net/assets/public/0f73/5a0e/a75946108265/311dd67a19f0/12016220800-a2/12016220800-a2.jpg?ts=1699525082193&w=477', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/0d31/6491/40084ce29aec/4581b4a68c9b/12013320131-e1/12013320131-e1.jpg?ts=1704205668473&w=151', 'https://static.zara.net/assets/public/2da6/b327/1d7b46bbb46c/b6c067b4bd67/12007320800-e1/12007320800-e1.jpg?ts=1700653281552&w=151', 'https://static.zara.net/assets/public/d838/95da/28fd488d8dc7/04f75daae066/12120320800-e1/12120320800-e1.jpg?ts=1705061077864&w=151', 'https://static.zara.net/assets/public/f9e4/f56e/ff6e49938b2c/7965e8c685fc/12008321203-e1/12008321203-e1.jpg?ts=1704296269007&w=151']"
SLIM FIT JEANS,Slim fit jeans. Five pockets. Washed effect. Front zip and button closure.,,,$ 45.90,"['https://static.zara.net/assets/public/63b0/1aec/d5004919a3f8/5f62d0d2b69d/00774441802-p/00774441802-p.jpg?ts=1709286541066&w=477', 'https://static.zara.net/assets/public/3da2/45a5/bab24abab107/bcffb835cba6/00774441802-a1/00774441802-a1.jpg?ts=1709286531129&w=477', 'https://static.zara.net/assets/public/2c01/3fb8/8170439e9918/30bb332e5b86/01887450250-e1/01887450250-e1.jpg?ts=1703666027957&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/1168/2268/dd4149f7b35a/c4f48f235415/1689841798365/1689841798365.jpg?ts=1704650107044&w=151', 'https://static.zara.net/assets/public/cc5e/9a63/9ce849839d60/074cf786c0f0/1689609652540/1689609652540.jpg?ts=1701362644014&w=151', 'https://static.zara.net/assets/public/3282/f549/defe4ae2b5cf/0b7dee3bdfd0/1689841789557/1689841789557.jpg?ts=1701373424891&w=151']"
VINTAGE EFFECT LEATHER SHORTS,Relaxed fit leather shorts. Five pockets. Aged finish. Front zip and button closure.,$ 199.00,-24%,$ 149.99,"['https://static.zara.net/assets/public/41b8/954a/25d24727997b/ac48e126290e/02521002800-a4/02521002800-a4.jpg?ts=1711456592301&w=477', 'https://static.zara.net/assets/public/5222/f81c/39984f84b410/12ec72c7f2eb/02521002800-p/02521002800-p.jpg?ts=1711456588839&w=477', 'https://static.zara.net/assets/public/1cc0/727d/7b2546aab337/9b02e8386ca9/02521003800-e1/02521003800-e1.jpg?ts=1712157928403&w=151', 'https://static.zara.net/assets/public/3ad7/caab/acb341cd88cf/0a361758b85a/00962465300-e1/00962465300-e1.jpg?ts=1710779225915&w=151', 'https://static.zara.net/assets/public/c10f/8320/79004315bea5/a4058aa6f216/12045320800-e1/12045320800-e1.jpg?ts=1711556916745&w=151', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/assets/public/1722/1318/6a0e45aa9bea/305439f67f4f/02521001800-e1/02521001800-e1.jpg?ts=1712157918457&w=151']"
EMBROIDERED TEXT T-SHIRT,Relaxed fit shirt. Round neck and long sleeves with ribbed cuffs. Tonal embroidered text at chest.,$ 39.90,-34%,$ 25.99,"['https://static.zara.net/assets/public/b752/c983/97bc4149aa7e/fa13da0bdf32/04087422833-p/04087422833-p.jpg?ts=1706093113552&w=477', 'https://static.zara.net/assets/public/0fbd/79b8/8a5647639d1b/ec841acd0dc1/04087422833-a1/04087422833-a1.jpg?ts=1706093124894&w=477', 'https://static.zara.net/assets/public/8240/e67b/7cce499a899e/2e913bc60264/00761462707-e1/00761462707-e1.jpg?ts=1704275734537&w=151', 'https://static.zara.net/assets/public/1111/d55a/f0304f2c8a85/2b415c96ab44/20210733999-e1/20210733999-e1.jpg?ts=1712586245235&w=151', 'https://static.zara.net/assets/public/7cfb/c5b7/d83946d79902/69e88925307c/04442400401-e1/04442400401-e1.jpg?ts=1700067359091&w=151', 'https://static.zara.net/assets/public/8967/c0f8/3af241d28824/85817aa0d3ec/04087422819-e1/04087422819-e1.jpg?ts=1706093287691&w=151', 'https://static.zara.net/assets/public/b098/a26d/1648480e8928/fc088e9a705d/04087422251-e1/04087422251-e1.jpg?ts=1706093263886&w=151', 'https://static.zara.net/assets/public/48ad/2659/f6ae4a7f9df8/cc962f270320/00761476251-e1/00761476251-e1.jpg?ts=1716469960605&w=151']"
WRINKLED LOOK SHIRT,Relaxed fit shirt made of wrinkled effect fabric. Spread collar and short sleeves. Chest patch pocket. Front button closure.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/54d1/9464/1d11420f81fd/85ac57fab481/06103402710-p/06103402710-p.jpg?ts=1713182787740&w=477', 'https://static.zara.net/assets/public/8b6f/b23d/89bb4c6cac21/14d8b631f4e6/06103402710-a1/06103402710-a1.jpg?ts=1713182790015&w=477', 'https://static.zara.net/photos///2024/V/1/2/p/2510/320/800/2/w/151/2510320800_6_1_1.jpg?ts=1706691080570', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/05e0/aae0/af0740629922/bb8ad5c3c8c8/06103402505-e1/06103402505-e1.jpg?ts=1710435795455&w=151', 'https://static.zara.net/assets/public/e92f/c2c8/a38a4bf2bd87/6c5b5f435e25/06103402800-e1/06103402800-e1.jpg?ts=1710435797134&w=151', 'https://static.zara.net/assets/public/203c/f1a7/13dc461883eb/dacdf6ab9b51/06103430710-e1/06103430710-e1.jpg?ts=1716276084357&w=151']"
SEAMED JOGGER SHORTS,Relaxed fit shorts. Adjustable elastic drawstring waistband. Front pockets and back patch pocket.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/c3cf/8520/c93647dc9a00/2d5601df1a77/00526423712-p/00526423712-p.jpg?ts=1713960786973&w=477', 'https://static.zara.net/assets/public/de51/fc9c/156d4b7a9d24/14bdace24bbd/00526423712-a1/00526423712-a1.jpg?ts=1713960798050&w=477', 'https://static.zara.net/assets/public/46ee/0db4/4c2440e4aaba/7c08225338aa/03284411712-e1/03284411712-e1.jpg?ts=1706805364330&w=151', 'https://static.zara.net/assets/public/84ca/e152/a8814fe4b0dc/8aec40dbe304/12399220001-e1/12399220001-e1.jpg?ts=1707123123228&w=151', 'https://static.zara.net/assets/public/909d/f1ff/807042b9b2f5/c4bed04ba50c/4000.jpg?ts=1690803363012&w=151', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/9d8d/bafd/674245ef895b/4ce82d768ffd/07147410251-e1/07147410251-e1.jpg?ts=1709032108767&w=151']"
STRUCTURED MESH CARDIGAN,Relaxed fit cardigan made of open structure fabric. V-neck and long sleeves. Rib trim. Front button closure.,$ 69.90,-42%,$ 39.99,"['https://static.zara.net/assets/public/4f2e/e013/c155491ab62f/f8174a144301/05755414832-p/05755414832-p.jpg?ts=1709719497953&w=477', 'https://static.zara.net/assets/public/988a/0593/109d42b79f2e/ea1b0381b117/05755414832-a1/05755414832-a1.jpg?ts=1709719514451&w=477', 'https://static.zara.net/assets/public/1068/9e85/3efa4e549cb2/7cd3fe5ed45a/00706105712-e1/00706105712-e1.jpg?ts=1704970517679&w=151', 'https://static.zara.net/assets/public/cd32/64b2/5e5e418aab9c/de37df098a22/12765320800-e1/12765320800-e1.jpg?ts=1704447162772&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/925a/7e6c/d98c4c7d88d4/ed068742663f/05536411704-e1/05536411704-e1.jpg?ts=1702293827893&w=151', 'https://static.zara.net/assets/public/ceb7/6745/fed04f5aae45/71ef1fd831a3/04331402320-e1/04331402320-e1.jpg?ts=1708330665717&w=151', 'https://static.zara.net/assets/public/2e94/fada/dc1648709ec7/faba8badf5ba/09598427251-e1/09598427251-e1.jpg?ts=1707395662890&w=151']"
STRAIGHT FIT WASHED JEANS,"Straight fit jeans made of denim that has undergone a special finish that makes each piece unique. For this reason, the color may differ slightly from that seen in the photo.

Five pockets. Ripped washed effect. Front zip and button closure.",$ 69.90,-34%,$ 45.99,"['https://static.zara.net/assets/public/babb/159a/255e495aac6b/ad64633eb21c/05585403406-p/05585403406-p.jpg?ts=1708510197060&w=477', 'https://static.zara.net/assets/public/a64c/ee52/671b4a8f9a25/841c8f7354f5/05585403406-a1/05585403406-a1.jpg?ts=1708510255368&w=477', 'https://static.zara.net/assets/public/b098/a26d/1648480e8928/fc088e9a705d/04087422251-e1/04087422251-e1.jpg?ts=1706093263886&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/f407/1b0d/7de3497598e9/cc36b89b50e5/00840495802-e1/00840495802-e1.jpg?ts=1712590208331&w=151', 'https://static.zara.net/assets/public/9a81/952e/122d477e9344/1bd426d9cdc7/06688402409-e1/06688402409-e1.jpg?ts=1708000763311&w=151', 'https://static.zara.net/assets/public/0d86/51f0/f4814eaabcca/6c476b404d29/05585401427-e1/05585401427-e1.jpg?ts=1708683688669&w=151']"
CONTRAST JACQUARD JACKET,Full cut jacket with lapel collar and long sleeves. Front button closure.,$ 89.90,-48%,$ 45.99,"['https://static.zara.net/assets/public/0f18/bc5d/9ec54aaca3b0/8f6bf4b63b21/04087423798-p/04087423798-p.jpg?ts=1706880051041&w=477', 'https://static.zara.net/assets/public/7513/ec46/ab754f3ea464/485f58df4f86/04087423798-a1/04087423798-a1.jpg?ts=1706880072732&w=477', 'https://static.zara.net/photos///2024/V/0/2/p/3991/400/712/2/w/151/3991400712_6_1_1.jpg?ts=1701183933480', 'https://static.zara.net/assets/public/9b68/8438/0e2e4d77ab6c/afb5ced8a5d2/20210769999-e1/20210769999-e1.jpg?ts=1708534160348&w=151', 'https://static.zara.net/assets/public/0511/33de/ca5a449c8317/28510e5cc50f/01166400800-e1/01166400800-e1.jpg?ts=1702544657857&w=151', 'https://static.zara.net/assets/public/a547/bd1f/450b4601be21/081e813e570e/00993305700-e1/00993305700-e1.jpg?ts=1705401185204&w=151', 'https://static.zara.net/assets/public/7b9e/5176/571545b29763/2204e97acafa/02893404811-e1/02893404811-e1.jpg?ts=1706527004286&w=151', 'https://static.zara.net/assets/public/2577/271a/64214195b919/dc4b99233c4c/02795407700-e1/02795407700-e1.jpg?ts=1707403712423&w=151']"
PLEATED STRIPED PANTS,"Straight fit pants made of Italian cotton, wool, and linen blend fabric.

Elastic waistband with front pleat detail. Side pockets at hip and back welt pockets. Front zip and button closure.

Origins special collection.",$ 159.00,-49%,$ 79.99,"['https://static.zara.net/assets/public/469e/0ea0/d8f34c098086/5efbac7414ad/04389716104-p/04389716104-p.jpg?ts=1707410721337&w=478', 'https://static.zara.net/assets/public/1254/4e65/d7a7445198b7/22f8c48bb296/04389716104-a1/04389716104-a1.jpg?ts=1707410726123&w=478', 'https://static.zara.net/assets/public/ba1f/d020/92b645f28f3a/4eae74f52eca/07563300712-200-e1/07563300712-200-e1.jpg?ts=1707390887795&w=151', 'https://static.zara.net/assets/public/afa2/f17d/3f9e40e8a25c/e7be960c45c2/04231401250-200-e1/04231401250-200-e1.jpg?ts=1701184016325&w=151', 'https://static.zara.net/assets/public/d3ce/0015/25cd4ed59cef/0f77b0980c08/12122320800-200-e1/12122320800-200-e1.jpg?ts=1707485346079&w=151', 'https://static.zara.net/assets/public/2944/f6e2/9f3f4d2cafab/6763efea75f4/20210726999-e1/20210726999-e1.jpg?ts=1709283253747&w=151', 'https://static.zara.net/assets/public/f841/f71c/222a420f866d/ce46247cfde2/01166406555-e1/01166406555-e1.jpg?ts=1710489940743&w=151', 'https://static.zara.net/photos///2024/V/0/2/p/4105/149/801/2/w/151/4105149801_6_1_1.jpg?ts=1701183934353']"
REMOVABLE COLLAR COAT,Coat with removable layered high collar with zipper. Long sleeves. Welt pockets at hip and interior pocket. Central back vent at hem. Front interior double zip closure and exterior button closure.,$ 169.00,-40%,$ 99.99,"['https://static.zara.net/assets/public/1c0b/6d43/a56d4413bdb0/8e630e4926d0/4000.jpg?ts=1695139473168&w=477', 'https://static.zara.net/assets/public/9071/6cd2/b87942ca8876/2be0017000c6/4000.jpg?ts=1695139475249&w=477', 'https://static.zara.net/assets/public/bb6a/a5d6/39cd4b2d81fe/bbe3df1a9855/20210721999-e1/20210721999-e1.jpg?ts=1709283254221&w=151', 'https://static.zara.net/assets/public/d027/c1f1/3d0f4021a8c6/c4bdd718b81e/04442500250-e1/04442500250-e1.jpg?ts=1712313067286&w=151', 'https://static.zara.net/assets/public/f5d7/68d3/39584cde8b88/20b66e338d9b/05940889800-e1/05940889800-e1.jpg?ts=1703837348726&w=151', 'https://static.zara.net/assets/public/0e59/b652/c6914c6992ff/a92aa8da0f17/4000.jpg?ts=1694703369941&w=151', 'https://static.zara.net/assets/public/8b1b/0aa2/da94471095a6/3fd6c540a6de/4000.jpg?ts=1690811259632&w=151', 'https://static.zara.net/assets/public/5ff2/a5a2/0469427d8db4/a95805eda027/4000.jpg?ts=1691417543476&w=151']"
ZIP COLLAR SWEATSHIRT,High collar sweatshirt with front zip closure. Long sleeves. Rib trim.,$ 45.90,-34%,$ 29.99,"['https://static.zara.net/assets/public/0827/f389/7fa140529629/6d3e682c4907/06462410800-p/06462410800-p.jpg?ts=1700069642607&w=477', 'https://static.zara.net/assets/public/13d1/40aa/636049b29a30/b4dec7846e1f/06462410800-a1/06462410800-a1.jpg?ts=1700044891503&w=477', 'https://static.zara.net/assets/public/594a/167e/07d7466aaa1a/ee3066b88d88/20210472999-e1/20210472999-e1.jpg?ts=1710490673507&w=151', 'https://static.zara.net/assets/public/bf20/6efc/67b54526aec4/02ad16c5349c/1689932178698/1689932178698.jpg?ts=1701861105993&w=151', 'https://static.zara.net/assets/public/01e6/c563/30d542348707/77c9844569ba/1689927797596/1689927797596.jpg?ts=1703623252480&w=151', 'https://static.zara.net/assets/public/a5ba/8fc5/f1c54cc38f44/15faf6232a69/06462410403-e1/06462410403-e1.jpg?ts=1718005350757&w=151', 'https://static.zara.net/assets/public/b048/f63b/aea0476b89a0/ebe9b3d77904/06224435800-e1/06224435800-e1.jpg?ts=1708952251364&w=151', 'https://static.zara.net/assets/public/d1c5/1317/1acd476cb26d/f616549b0b0b/05520429822-e1/05520429822-e1.jpg?ts=1706093308186&w=151']"
